Gesellschafts_Nr_1,Artikelnummer,Bezeichnung2,Bestell_zum_Datum,Bestellnummer,Krt__Einheit1,bestellte_Karton,Referenznummer
031,50000,,06.10.2017,72603,10,179,03106102017
031,50002,,06.10.2017,72603,10,109,03106102017
031,50004,,06.10.2017,72603,6,64,03106102017
031,50006,,06.10.2017,72603,10,149,03106102017
031,50010,,06.10.2017,72603,10,150,03106102017
031,50014,,06.10.2017,72603,10,342,03106102017
031,50020,,06.10.2017,72603,7,93,03106102017
031,50032,,06.10.2017,72603,22,725,03106102017
031,50033,,06.10.2017,72603,6,190,03106102017
031,50047,,06.10.2017,72603,20,68,03106102017
031,50073,,06.10.2017,72603,16,124,03106102017
031,50074,,06.10.2017,72603,16,155,03106102017
031,50075,,06.10.2017,72603,5,126,03106102017
031,50086,,06.10.2017,72603,12,87,03106102017
031,50087,,06.10.2017,72603,14,103,03106102017
031,50088,,06.10.2017,72603,10,89,03106102017
031,50089,,06.10.2017,72603,18,60,03106102017
031,50091,,06.10.2017,72603,8,196,03106102017
031,50093,,06.10.2017,72603,10,259,03106102017
031,50095,,06.10.2017,72603,10,446,03106102017
031,50106,,06.10.2017,72603,5,196,03106102017
031,50118,,06.10.2017,72603,10,71,03106102017
031,50119,,06.10.2017,72603,10,59,03106102017
031,50126,,06.10.2017,72603,5,581,03106102017
031,50127,,06.10.2017,72603,4,103,03106102017
031,50128,,06.10.2017,72603,8,173,03106102017
031,50129,,06.10.2017,72603,4,249,03106102017
031,50800,,06.10.2017,72603,8,73,03106102017
031,50803,,06.10.2017,72603,12,169,03106102017
031,50807,,06.10.2017,72603,10,54,03106102017
031,50808,,06.10.2017,72603,12,278,03106102017
